category,scenario,time_offset_s,bias_x_m,bias_y_m,alignment_rmse_m,trajectory_rms_change_m,mean_nis
alignment_method,linear-irls0,50.269853934610644,3.4745022187991372,-1.83367971927229,1.3358900442371382,,
alignment_method,linear-irls2,50.26976303273666,3.4677738935181255,-1.8299341001139997,1.335912446743563,,
alignment_method,linear-irls4,50.26976343699278,3.467971800019185,-1.8299901899032534,1.3359113068591566,,
alignment_method,pchip-irls0,50.17060278892,3.4731100671319064,-1.8327838376363152,1.452598290863307,,
alignment_method,pchip-irls2,50.17173626574195,3.466677591417607,-1.8330034299333136,1.452619531566644,,
alignment_method,pchip-irls4,50.17173202142149,3.4669983171406984,-1.8332004634657162,1.452618134744414,,
alignment_method,cubic-irls0,50.1693658439451,3.4730494081625403,-1.832786303929628,1.5478047551100658,,
alignment_method,cubic-irls2,50.17116310782227,3.465821493804074,-1.83280500925357,1.547830997603477,,
alignment_method,cubic-irls4,50.17116280778287,3.4661307018875234,-1.8327418260078951,1.547829579142175,,
search_width,half-width-5s,50.17194102423921,3.465480140626207,-1.8310125461595028,1.4541804079392688,,
search_width,half-width-10s,50.17173202142149,3.4669983171406984,-1.8332004634657162,1.452618134744414,,
search_width,half-width-15s,50.171909491236725,3.468650836893842,-1.8330846724594216,1.453674496048796,,
fusion_hyperparameter,q-factor-0.1_gate-0.99,50.17173202142149,3.4669983171406984,-1.8332004634657162,1.452618134744414,0.06539767999664584,2.155255201286367
fusion_hyperparameter,q-factor-1_gate-0.99,50.17173202142149,3.4669983171406984,-1.8332004634657162,1.452618134744414,1.0427438934731078e-15,1.948065960003592
fusion_hyperparameter,q-factor-10_gate-0.99,50.17173202142149,3.4669983171406984,-1.8332004634657162,1.452618134744414,0.034642124636339006,1.9230984712950123
fusion_hyperparameter,q-factor-1_gate-0.975,50.17173202142149,3.4669983171406984,-1.8332004634657162,1.452618134744414,0.003337958719404395,1.9210158615883726
fusion_hyperparameter,q-factor-1_gate-0.995,50.17173202142149,3.4669983171406984,-1.8332004634657162,1.452618134744414,0.0015332948300839841,1.9564782218355954
