jerk_spectral_density,mean_robust_nll,mean_nis,p95_nis,effective_mean_nis,mean_abs_lag1_whitened_innovation,downweighted_fraction,diagnostic_score
1e-11,20.042545423340226,40.75835408153987,90.28623103888319,40.75835408153987,0.9248456945143422,0.0,40.608045470568555
3.1622776601683794e-11,9.1477295223123,18.966952633819396,44.40957023143765,18.966952633819396,0.8504330470801139,0.0,18.667818727979625
1e-10,3.8223357100388085,8.313913482086571,21.185914340416396,8.313913482086571,0.6975235805977629,0.0,7.708960643282097
3.1622776601683795e-10,1.7357602794068496,4.137927133016979,11.541335299445544,4.137927133016979,0.4688437838435528,0.0,3.075614700704085
1e-09,1.004118387886105,2.671100501476175,7.844845580164996,2.671100501476175,0.24326693904105007,0.0,1.1576343795582749
3.1622776601683795e-09,0.7604857312255486,2.1794351976747373,6.431092663486097,2.1794351976747373,0.0985012036437313,0.0,0.37643760496219986
1e-08,0.6823214135578641,2.017667263703001,5.998284040932669,2.017667263703001,0.03316268652216042,0.0,0.08399263674732194
3.162277660168379e-08,0.6590081142295946,1.964342837137098,5.816258485993314,1.964342837137098,0.015286609894553448,0.0,0.066230382652009
1e-07,0.6539238964886743,1.945953963149312,5.760239077962109,1.945953963149312,0.010600331028008081,0.0,0.07524669890670425
3.162277660168379e-07,0.6553750272158441,1.9387914237020534,5.782312829885219,1.9387914237020534,0.012328176193762122,0.0,0.08586492868547087
1e-06,0.6597678971474912,1.93527758038111,5.749839179931262,1.93527758038111,0.013175690472032278,0.0,0.09107380056295458
1e-05,0.6736140841488664,1.9296772383044363,5.7437004042878685,1.9296772383044363,0.014227450335313162,0.0,0.09877766236619005
0.0001,0.6942759118117275,1.9216684995504836,5.779566601700215,1.9216684995504836,0.01722105453570621,0.0,0.11277360952092885
0.001,0.7257621623247945,1.9117649643345502,5.673976952834602,1.9117649643345502,0.020310018271702555,0.0,0.1288550722088549
0.01,0.7720172654698475,1.8968390570027718,5.60361383039323,1.8968390570027718,0.024675366244099325,0.0,0.15251167548542688
0.1,0.8386253113153562,1.8718800763640715,5.444305765686245,1.8718800763640715,0.03801789167488171,0.0,0.2041557069856919
1.0,0.936471731852861,1.8348781477875349,5.379316822724813,1.8348781477875349,0.058136018052105484,0.0,0.2813938883166761
10.0,1.0796675500398334,1.7791120813330694,5.27313147383861,1.7791120813330694,0.08743002042149063,0.0,0.3957479595099118
100.0,1.2886531127524519,1.6943159641787973,5.039525704470631,1.6943159641787973,0.126165948143712,0.0,0.5580159321086267
