time_offset_s,mse_m2
-987.8317,39.400298559408974
-987.3317,39.41271613676359
-986.8317,39.42701946596441
-986.3317,39.435640815224374
-985.8317,39.44614765837839
-985.3317,39.45096787771034
-984.8317,39.45767333725372
-984.3317,39.45868904669884
-983.8317,39.46158974713
-983.3317,39.458799090248085
-982.8317,39.457893179769506
-982.3317,39.45129582467274
-981.8317,39.446582976222345
-981.3317,39.436180115998205
-980.8317,39.42766152766975
-980.3317,39.41345588019268
-979.8317,39.40113427504496
-979.3317,39.38313008217693
-978.8317,39.36700970743163
-978.3317,39.34521273361168
-977.8317,39.32529935924017
-977.3317,39.29971688946333
-976.8317,39.27601780616291
-976.3317,39.246658643349434
-975.8317,39.21918265990955
-975.3317,39.18605712166502
-974.8317,39.15481456172455
-974.3317,39.11793447649249
-973.8317,39.082937174689256
-973.3317,39.042315877297256
-972.8317,39.00357717481109
-972.3317,38.95922950141241
-971.8317,38.91676424090361
-971.3317,38.86870652331607
-970.8317,38.822531043261
-970.3317,38.77078110270527
-969.8317,38.72091323113144
-969.3317,38.66549037137121
-968.8317,38.61194941899401
-968.3317,38.55287441888066
-967.8317,38.4956811716446
-967.3317,38.432976277069194
-966.8317,38.37215298809647
-966.3317,38.305841903352224
-965.8317,38.24141228430162
-965.3317,38.171520162860276
-964.8317,38.10350937469987
-964.3317,38.03006280940543
-963.8317,37.958497452602714
-963.3317,37.88152446528639
-962.8317,37.80643256941955
-962.3317,37.72596259994011
-961.8317,37.647373612734484
-961.3317,37.563437507448135
-960.8317,37.481382283242354
-960.3317,37.3940122829067
-959.8317,37.30852307055277
-959.3317,37.217752797669725
-958.8317,37.12886322787197
-958.3317,37.034727673474336
-957.8317,36.94247274557209
-957.3317,36.84500825545936
-956.8317,36.74942432365867
-956.3317,36.64866858408709
-955.8317,36.54979334314681
-955.3317,36.4457853659796
-954.8317,36.34365783635746
-954.3317,36.23643794368096
-953.8317,36.131098456145615
-953.3317,36.02070826435742
-952.8317,35.91219844407241
-952.3317,35.79868084744777
-951.8317,35.687043597533766
-951.3317,35.5704427512768
-950.8317,35.455722235858545
-950.3317,35.33608353864491
-949.8317,35.218325165389636
-949.3317,35.0956952414076
-948.8317,34.97494564356179
-948.3317,34.84937232405874
-947.8317,34.72567934199045
-947.3317,34.5972116463323
-946.8317,34.470624308586046
-946.3317,34.33931242483687
-945.8317,34.20988092870905
-945.3317,34.07577619373874
-944.8317,33.94355188538089
-944.3317,33.806706764508775
-943.8317,33.671742118566726
-943.3317,33.53221018474904
-942.8317,33.394558783546124
-942.3317,33.25239469611585
-941.8317,33.11211120838814
-941.3317,32.96737069135546
-940.8317,32.82451085054795
-940.3317,32.67725067046998
-939.8317,32.53187125260181
-939.3317,32.382149196030475
-938.8317,32.23430799713837
-938.3317,32.082182847655346
-937.8317,31.931938660824134
-937.3317,31.777470175671947
-936.8317,31.624882767661173
-936.3317,31.468131653979828
-935.8317,31.313261741455957
-935.3317,31.15428963213449
-934.8317,30.997198857518022
-934.3317,30.836068286670645
-933.8317,30.67681919360778
-933.3317,30.513593571684368
-932.8317,30.352249580153043
-932.3317,30.18699316869378
-931.8317,30.023618549753973
-931.3317,29.856396435798413
-930.8317,29.691056285996684
-930.3317,29.521934356157228
-929.8317,29.35469457159588
-929.3317,29.18373948580615
-928.8317,29.014666735887108
-928.3317,28.841945900835608
-927.8317,28.671107601689783
-927.3317,28.496689143949414
-926.8317,28.32415343156183
-926.3317,28.148106170426097
-925.8317,27.973941873467783
-925.3317,27.79633529350443
-924.8317,27.620611905881702
-924.3317,27.441516129214747
-923.8317,27.264303782346982
-923.3317,27.083789540678275
-922.8317,26.90515897551519
-922.3317,26.723297581896556
-921.8317,26.54332012068615
-921.3317,26.36018344105355
-920.8317,26.178930958871984
-920.3317,25.99459138335288
-919.8317,25.81213627940776
-919.3317,25.626666693413313
-918.8317,25.443081862131688
-918.3317,25.256555617245233
-917.8317,25.071914419157995
-917.3317,24.884405303831485
-916.8317,24.69878153626573
-916.3317,24.510363746335855
-915.8317,24.32383161392698
-915.3317,24.1345797229627
-914.8317,23.947213807998
-914.3317,23.75720273749146
-913.8317,23.569077970097023
-913.3317,23.37838295950969
-912.8317,23.189574587692682
-912.3317,22.998271164368653
-911.8317,22.808854723926807
-911.3317,22.617018672885475
-910.8317,22.427069957195915
-910.3317,22.234777290815956
-909.8317,22.04437232051543
-909.3317,21.851699248122248
-908.8317,21.660914240690925
-908.3317,21.46793713805984
-907.8317,21.27684847732081
-907.3317,21.08364385610809
-906.8317,20.89232806165483
-906.3317,20.69897253876886
-905.8317,20.507506235332862
-905.3317,20.314076502257727
-904.8317,20.122536389028625
-904.3317,19.92910918111238
-903.8317,19.73757200102279
-903.3317,19.54422406674274
-902.8317,19.352766575730193
-902.3317,19.159574645947483
-901.8317,18.968273582205754
-901.3317,18.775314339421612
-900.8317,18.584246392653707
-900.3317,18.391596440279695
-899.8317,18.20083822096495
-899.3317,18.008574052619455
-898.8317,17.818202061306952
-898.3317,17.62640003015035
-897.8317,17.43649062679106
-897.3317,17.24522691491177
-896.8317,17.055856288241635
-896.3317,16.86520687610538
-895.8317,16.676451013091715
-895.3317,16.486491649066256
-894.8317,16.298426304429665
-894.3317,16.109232474397228
-893.8317,15.921933140221299
-893.3317,15.733580037290892
-892.8317,15.547121912731846
-892.3317,15.359684407063652
-891.8317,15.17414236817216
-891.3317,14.987694976926079
-890.8317,14.803143546593306
-890.3317,14.617760404013778
-889.8317,14.434273722053756
-889.3317,14.250028549702835
-888.8317,14.0676803430832
-888.3317,13.88464642023385
-887.8317,13.703509973466867
-887.3317,13.521760107668406
-886.8317,13.341908233374223
-886.3317,13.161514731201711
-885.8317,12.983019740855626
-885.3317,12.80405437885499
-884.8317,12.626988053730562
-884.3317,12.449522049571092
-883.8317,12.273955611890702
-883.3317,12.098059595736597
-882.8317,11.924063680041117
-882.3317,11.749807666153526
-881.8317,11.577452290902606
-881.3317,11.404905649483624
-880.8317,11.234260188897986
-880.3317,11.063491618187946
-879.8317,10.894624774345079
-879.3317,10.725702272984341
-878.8317,10.558682048178762
-878.3317,10.391672887845138
-877.8317,10.226566557224423
-877.3317,10.061537255557283
-876.8317,9.898411340044795
-876.3317,9.735427633866719
-875.8317,9.574347873382033
-875.3317,9.413474692228824
-874.8317,9.254506019216564
-874.3317,9.095807459186275
-873.8317,8.939013972464071
-873.3317,8.7825532703956
-872.8317,8.627998209331691
-872.3317,8.473837717323333
-871.8317,8.321583436354242
-871.3317,8.169784596632486
-870.8317,8.019892540130998
-870.3317,7.870515860279725
-869.8317,7.723046537783369
-869.3317,7.576151566343393
-868.8317,7.431164528153365
-868.3317,7.286809830602218
-867.8317,7.144363643762623
-867.3317,7.0026067788842425
-866.8317,6.862759003551351
-866.3317,6.723656500205232
-865.8317,6.586463666416267
-865.3317,6.450071000715454
-864.8317,6.315588585566324
-864.3317,6.181960158473453
-863.8317,6.0502425637146295
-863.3317,5.919431679065098
-862.8317,5.7905322091246925
-862.3317,5.662591052085816
-861.8317,5.53656189252875
-861.3317,5.41154150850363
-860.8317,5.2884337049356045
-860.3317,5.166383978920241
-859.8317,5.046247416345035
-859.3317,4.927217052747026
-858.8317,4.810100435385478
-858.3317,4.6941369383124965
-857.8317,4.580087769891342
-857.3317,4.467237423917353
-856.8317,4.356301988435901
-856.3317,4.246609839852909
-855.8317,4.138833182835348
-855.3317,4.032343021398302
-854.8317,3.9277689316392186
-854.3317,3.824523272811448
-853.8317,3.7231942646219944
-853.3317,3.6232343323283813
-852.8317,3.5251916282902584
-852.3317,3.428557338185163
-851.8317,3.333840852419439
-851.3317,3.2405707956761622
-850.8317,3.149219117633714
-850.3317,3.0593505452620806
-849.8317,2.971400924042252
-849.3317,2.884969731740698
-848.8317,2.80045806094453
-848.3317,2.7174987744928565
-847.8317,2.6364595776170825
-847.3317,2.557005338815812
-846.8317,2.479471755193536
-846.3317,2.4035543083556186
-845.8317,2.3295580796494164
-845.3317,2.257207758649777
-844.8317,2.186779215902734
-844.3317,2.1180249317909516
-843.8317,2.051192983040907
-843.3317,1.9860622122220917
-842.8317,1.9228543306841555
-842.3317,1.8613731036728456
-841.8317,1.8018153164950268
-841.3317,1.7440082072467205
-840.8317,1.6881250848432565
-840.3317,1.634015200667943
-839.8317,1.581829846634713
-839.3317,1.5314388186965484
-838.8317,1.4829728603127041
-838.3317,1.436320834719737
-837.8317,1.3915944140394596
-837.3317,1.3487000435270728
-836.8317,1.3077318090651213
-836.3317,1.2686122452766282
-835.8317,1.2314193442911117
-835.3317,1.1960902306586942
-834.8317,1.162688302034261
-834.3317,1.1311637672632082
-833.8317,1.1015669349976036
-833.3317,1.0738595871565564
-832.8317,1.0480804544532585
-832.3317,1.0242013756729333
-831.8317,1.0022510196423338
-831.3317,0.9822097614249506
-830.8317,0.9640977283963067
-830.3317,0.9479023075377003
-829.8317,0.9336366089838366
-829.3317,0.9212935041099856
-828.8317,0.910880613186477
-828.3317,0.9023947619059424
-827.8317,0.89583961060627
-827.3317,0.8912144072797837
-826.8317,0.8885203842077013
-826.3317,0.8877576783358987
-825.8317,0.8889266270960035
-825.3317,0.89202672232605
-824.8317,0.8970589405333056
-824.3317,0.9040205942849122
-823.8317,0.9129148331936189
-823.3317,0.9237352569047008
-822.8317,0.9364887216571622
-822.3317,0.9511635816491412
-821.8317,0.9677719321440303
-821.3317,0.9862953511065319
-820.8317,1.006752703486706
-820.3317,1.0291172625811629
-819.8317,1.053416191340431
-819.3317,1.079612932921842
-818.8317,1.1077444736299407
-818.3317,1.1377629045857984
-817.8317,1.169716557230584
-817.3317,1.2035446529357314
-816.8317,1.239308385881346
-816.3317,1.276932594767273
-815.8317,1.3164928493267967
-815.3317,1.3578980980636486
-814.8317,1.4012397936845031
-814.3317,1.4464094929738174
-813.8317,1.4935160330339419
-813.3317,1.542432084009889
-812.8317,1.5932853622224608
-812.3317,1.6459281634591243
-811.8317,1.700508570883352
-811.3317,1.7568570260053318
-810.8317,1.8151434586606114
-810.3317,1.8751749845539947
-809.8317,1.9371448516344674
-809.3317,2.0008353872549773
-808.8317,2.066464619941295
-808.3317,2.1337886357161726
-807.8317,2.2030516965810287
-807.3317,2.2739822044009785
-806.8317,2.3468520974047373
-806.3317,2.421360661202025
-805.8317,2.4978089422745176
-805.3317,2.57586568918307
-804.8317,2.655862477387429
-804.3317,2.7374361094805524
-803.8317,2.820950098754687
-803.3317,2.9060079053557946
-802.8317,2.9930063768268917
-802.3317,3.0815142473883927
-801.8317,3.171963082255604
-801.3317,3.263885519800878
-800.8317,3.357749212781112
-800.3317,3.4530493479042774
-799.8317,3.550291021235792
-799.3317,3.6489306266537302
-798.8317,3.7495120446520116
-798.3317,3.8514515503029108
-797.8317,3.9553331344630736
-797.3317,4.060531643145522
-796.8317,4.167672487785271
-796.3317,4.276087791331715
-795.8317,4.3864456797686815
-795.3317,4.498034275746841
-794.8317,4.611565697003888
-794.3317,4.726282805939532
-793.8317,4.842942971971418
-793.3317,4.960742555085655
-792.8317,5.080485418520226
-792.3317,5.201320195974302
-791.8317,5.324098468361178
-791.3317,5.447919938001527
-790.8317,5.573685108561062
-790.3317,5.700443565157187
-789.8317,5.829145920022235
-789.3317,5.9587904749897715
-788.8317,6.090379116932644
-788.3317,6.222857718533782
-787.8317,6.357280587170562
-787.3317,6.492540041183799
-786.8317,6.629743933647969
-786.3317,6.767729924498973
-785.8317,6.907660516576158
-785.3317,7.048317628921364
-784.8317,7.190919496636771
-784.3317,7.334191237391101
-783.8317,7.479407879041097
-783.3317,7.625236699841041
-782.8317,7.773010558460072
-782.3317,7.92133787855323
-781.8317,8.07161036480716
-781.3317,8.222376594359071
-780.8317,8.375088109855835
-780.3317,8.528232673664874
-779.8317,8.683322634673141
-779.3317,8.838783996284002
-778.8317,8.99619085785042
-778.3317,9.153906544056591
-777.8317,9.313567824511994
-777.3317,9.473474450237457
-776.8317,9.635326756082279
-776.3317,9.797360049632527
-775.8317,9.961339100791497
-775.3317,10.125433929463782
-774.8317,10.291474584899836
-774.3317,10.457564980942445
-773.8317,10.625601264619636
-773.3317,10.793620451529865
-772.8317,10.963585578714913
-772.3317,11.133465997865192
-771.8317,11.305292401757193
-771.3317,11.476965739338794
-770.8317,11.650585098016435
-770.3317,11.823982312289981
-769.8317,11.999325575965559
-769.3317,12.174376924807438
-768.8317,12.351374343376722
-768.3317,12.528009412110455
-767.8317,12.706590562987472
-767.3317,12.88473829248889
-766.8317,13.06483210871447
-766.3317,13.244420823779434
-765.8317,13.425955622392289
-765.3317,13.606913060355737
-764.8317,13.789816571014763
-764.3317,13.972069910609505
-763.8317,14.156269304455837
-763.3317,14.339745194899669
-762.8317,14.525167113647
-762.3317,14.709791703946445
-761.8317,14.89636228918793
-761.3317,15.082061257646949
-760.8317,15.269706180366985
-760.3317,15.45640476428881
-759.8317,15.645049254567942
-759.3317,15.832672280138159
