jerk_spectral_density,mean_nis,p95_nis,effective_mean_nis,mean_abs_lag1_whitened_innovation,downweighted_fraction,diagnostic_score
1e-06,22.732670007450267,89.06295984036461,22.732670007450267,0.8994913367517534,0.0,22.531652680953773
3.162277660168379e-06,13.305444326938119,52.36301546405033,13.305444326938119,0.8286600893507859,0.0,12.96276450563969
1e-05,7.874810924475116,31.59863847481672,7.874810924475116,0.7123373854398228,0.0,7.299485695354762
3.1622776601683795e-05,4.9441436717972165,17.48034873435065,4.9441436717972165,0.5523473889759922,0.0,4.048838449749201
0.0001,3.4908418580912026,11.156835252887273,3.4908418580912026,0.3835311822809677,0.0,2.257904222653138
0.00031622776601683794,2.8047188261204408,8.457278115587075,2.8047188261204408,0.2450202673475259,0.0,1.2947593608154926
0.001,2.4929738345886556,7.361398644017911,2.4929738345886556,0.1568158789312447,0.0,0.806605592451145
0.0031622776601683794,2.337084746596105,6.919026668525369,2.337084746596105,0.10430081874872517,0.0,0.5456863840935552
0.01,2.232485970690545,6.629411167829639,2.232485970690545,0.06513940824568173,0.0,0.36276478718190835
0.03162277660168379,2.1518850598855135,6.466828956373656,2.1518850598855135,0.03232084112778759,0.0,0.21652674214108866
0.1,2.096605134988016,6.285593879129904,2.096605134988016,0.012032867848202435,0.0,0.12067087068442102
0.31622776601683794,2.061007413976595,6.083827190746989,2.061007413976595,0.014410902142531094,0.0,0.089829218261657
1.0,2.0356862640624103,6.0799794837534655,2.0356862640624103,0.022261054000537447,0.0,0.08020837206348516
3.1622776601683795,2.0138724150434375,5.9758310094872,2.0138724150434375,0.029284461342052197,0.0,0.0724413377275419
10.0,1.9906329679498451,5.846490328552238,1.9906329679498451,0.04031279062457403,0.0,0.08999261329930294
31.622776601683793,1.9636806557725832,5.8765244719836085,1.9636806557725832,0.0532880559164663,0.0,0.14289545606034937
100.0,1.932412353626644,5.795048996173075,1.932412353626644,0.06811087216826181,0.0,0.20380939070987963
316.22776601683796,1.8953299736019422,5.738049212783407,1.8953299736019422,0.08474727718974695,0.0,0.2741645807775517
1000.0,1.8498210259324912,5.63541610850587,1.8498210259324912,0.10359341890142273,0.0,0.35736581187035427
